,DP03_0096PE,DP03_0097PE,DP03_0098PE,DP03_0099PE,NAME,state,DP03_0101PE,DP03_0106PE,DP03_0107PE,DP03_0108PE,DP03_0111PE,DP03_0112PE,DP03_0113PE,DP03_0116PE,DP03_0117PE,DP03_0118PE
0,86.7,65.1,34.6,13.3,Alabama,01,4.1,81.0,5.4,16.2,33.5,18.5,50.4,49.8,39.7,20.7
1,79.5,62.9,25.6,20.5,Alaska,02,13.9,74.1,7.6,22.1,29.3,18.7,54.3,46.0,30.1,29.9
2,82.4,59.3,34.1,17.6,Arizona,04,13.2,72.6,8.7,20.8,27.4,31.0,43.9,45.6,35.7,24.5
3,83.6,58.7,36.4,16.4,Arkansas,05,5.9,75.5,6.1,21.0,27.3,16.7,57.6,41.4,40.0,25.8
4,82.1,60.0,30.5,17.9,California,06,7.9,72.6,7.3,21.7,34.0,21.8,46.1,47.5,31.1,25.9
5,85.3,68.7,26.3,14.7,Colorado,08,8.8,77.9,6.5,17.4,38.7,19.5,43.8,57.4,28.8,20.0
6,90.9,72.0,30.4,9.1,Connecticut,09,3.8,82.3,8.4,11.0,39.9,33.0,29.7,58.0,33.4,13.2
7,91.2,70.5,35.2,8.8,Delaware,10,3.5,81.0,10.3,11.1,35.9,38.5,29.5,56.6,39.1,12.9
8,94.1,69.5,35.7,5.9,District of Columbia,11,1.7,84.4,12.3,6.5,34.2,52.0,18.7,52.6,47.3,8.0
9,79.9,57.2,34.6,20.1,Florida,12,10.9,69.7,6.2,25.9,26.8,19.0,55.9,45.6,33.3,27.2
10,81.6,62.0,28.8,18.4,Georgia,13,8.8,76.2,4.5,21.3,32.0,15.4,54.9,48.5,30.2,27.3
11,93.1,75.5,31.1,6.9,Hawaii,15,3.5,87.4,8.2,7.1,41.7,28.4,31.2,58.2,34.5,12.4
12,83.8,66.3,29.6,16.2,Idaho,16,8.5,75.5,5.8,21.2,38.6,16.3,48.0,54.9,30.8,22.3
13,87.2,67.3,30.5,12.8,Illinois,17,3.3,79.5,7.1,15.2,35.3,23.3,43.4,53.4,30.2,21.5
14,85.7,67.8,29.3,14.3,Indiana,18,8.4,79.3,5.5,17.0,35.8,20.9,46.1,53.7,33.1,19.8
15,91.6,75.6,30.3,8.4,Iowa,19,4.0,84.7,7.2,10.5,42.1,25.9,35.6,59.5,35.8,13.1
16,87.4,72.3,27.0,12.6,Kansas,20,6.6,82.7,4.4,14.9,38.0,14.1,50.1,59.4,28.4,19.8
17,86.1,64.5,33.4,13.9,Kentucky,21,5.5,80.7,5.1,16.4,32.1,17.0,52.6,43.8,43.9,20.8
18,83.1,58.9,34.8,16.9,Louisiana,22,5.3,73.3,6.9,22.3,25.3,22.0,54.9,45.4,37.8,24.1
19,89.8,65.3,39.2,10.2,Maine,23,4.6,77.0,11.9,13.8,29.3,36.1,36.6,44.1,52.9,11.9
20,89.7,73.5,27.6,10.3,Maryland,24,3.8,83.3,6.5,12.4,41.5,26.9,34.2,59.0,32.1,15.8
21,96.1,74.8,33.5,3.9,Massachusetts,25,1.4,85.5,12.1,4.7,46.3,42.3,15.4,58.4,44.0,4.7
22,88.6,68.7,34.1,11.4,Michigan,26,4.0,80.3,7.2,14.4,36.0,27.0,39.7,54.4,39.4,15.4
23,92.0,76.4,27.9,8.0,Minnesota,27,5.4,84.4,8.1,9.5,43.3,32.5,27.4,59.0,37.3,10.7
24,83.0,56.2,37.6,17.0,Mississippi,28,7.3,75.3,6.5,20.9,26.4,19.9,55.8,38.1,44.8,24.5
25,86.4,67.5,30.8,13.6,Missouri,29,7.0,80.5,5.4,16.2,34.2,20.1,47.6,49.9,37.5,20.0
26,82.0,63.5,31.5,18.0,Montana,30,11.1,74.2,6.3,22.0,26.9,18.1,57.3,49.4,31.5,26.0
27,88.7,73.8,26.7,11.3,Nebraska,31,6.0,83.5,5.2,13.5,38.0,19.5,44.3,56.5,31.9,19.1
28,77.8,61.5,25.9,22.2,Nevada,32,16.6,74.3,4.6,23.4,31.3,13.8,56.6,46.8,26.5,32.6
29,89.4,75.3,26.5,10.6,New Hampshire,33,4.0,83.7,4.1,14.0,49.7,17.2,35.7,62.6,31.8,13.8
30,87.3,70.8,26.9,12.7,New Jersey,34,5.1,80.7,5.2,15.3,44.1,17.8,39.8,58.5,28.8,18.9
31,81.6,54.9,37.9,18.4,New Mexico,35,8.0,69.7,9.7,23.5,28.9,23.5,50.2,40.2,38.5,27.9
32,89.1,65.4,34.8,10.9,New York,36,3.9,77.2,10.6,14.1,37.6,35.5,30.6,50.1,41.9,14.8
33,83.4,62.7,32.1,16.6,North Carolina,37,7.6,76.3,5.5,20.3,29.3,20.0,52.6,48.9,35.7,22.7
34,90.0,79.7,23.3,10.0,North Dakota,38,6.9,85.6,4.8,11.7,46.2,17.2,38.3,65.1,24.4,16.6
35,88.5,68.7,32.4,11.5,Ohio,39,5.3,81.1,7.4,13.5,34.1,28.3,40.1,52.5,36.5,17.8
36,81.6,61.2,32.4,18.4,Oklahoma,40,10.1,74.0,5.7,22.7,27.4,18.2,55.9,44.7,34.2,28.2
37,85.1,65.7,32.3,14.9,Oregon,41,6.4,77.4,6.5,18.4,33.5,22.1,46.3,52.0,34.7,21.0
38,90.2,72.1,32.2,9.8,Pennsylvania,42,5.1,84.4,6.0,11.5,39.3,25.3,38.0,56.7,38.5,13.4
39,88.9,70.2,31.1,11.1,Rhode Island,44,4.5,81.8,6.6,13.3,39.4,22.1,41.0,50.8,42.7,14.6
40,83.2,62.0,33.6,16.8,South Carolina,45,8.3,76.0,6.4,20.1,28.8,18.5,54.8,48.1,36.9,23.4
41,88.5,72.1,29.1,11.5,South Dakota,46,5.8,82.5,6.5,13.9,26.6,23.3,51.8,55.4,33.1,19.7
42,86.1,64.5,33.5,13.9,Tennessee,47,5.7,78.2,7.3,16.7,31.6,24.2,46.3,47.3,39.4,21.4
43,77.5,57.3,28.3,22.5,Texas,48,12.4,69.5,5.0,27.3,29.5,15.1,57.1,43.8,27.6,33.6
44,85.5,73.4,20.8,14.5,Utah,49,10.1,80.7,4.5,16.7,41.4,15.2,45.2,62.3,22.9,20.5
45,93.5,68.7,38.5,6.5,Vermont,50,2.8,79.3,14.2,9.2,39.2,43.4,21.5,57.1,44.9,5.4
46,87.5,74.1,24.6,12.5,Virginia,51,5.6,83.1,4.2,14.7,40.3,15.4,46.5,61.1,26.0,19.2
47,86.1,69.0,28.9,13.9,Washington,53,5.8,80.3,5.6,16.6,40.1,15.9,46.0,54.3,31.1,21.2
48,85.6,63.1,36.9,14.4,West Virginia,54,3.9,77.2,5.8,19.2,27.0,17.8,57.6,45.4,43.2,20.6
49,91.0,72.4,31.2,9.0,Wisconsin,55,4.7,83.0,8.8,10.3,38.5,29.1,35.4,56.4,37.6,14.2
50,84.6,69.0,27.5,15.4,Wyoming,56,9.3,77.5,6.0,19.1,32.8,20.2,49.4,58.2,29.9,19.7
51,92.8,40.6,58.2,7.2,Puerto Rico,72,4.2,63.5,26.6,11.6,19.2,65.8,15.7,29.0,68.0,6.9
