,DP03_0096PE,DP03_0097PE,DP03_0098PE,DP03_0099PE,NAME,state,DP03_0101PE,DP03_0106PE,DP03_0107PE,DP03_0108PE,DP03_0111PE,DP03_0112PE,DP03_0113PE,DP03_0116PE,DP03_0117PE,DP03_0118PE
0,87.9,65.7,35.5,12.1,Alabama,01,3.8,81.9,5.8,14.9,37.7,19.4,46.7,50.9,39.7,19.4
1,82.8,65.6,26.8,17.2,Alaska,02,11.4,76.7,9.1,18.7,36.2,27.0,43.0,52.2,28.6,26.2
2,86.4,61.2,36.6,13.6,Arizona,04,10.0,75.0,10.8,16.6,31.3,36.3,34.6,45.7,40.7,19.7
3,88.2,60.4,40.2,11.8,Arkansas,05,4.8,77.2,9.4,16.1,30.6,33.1,39.3,45.0,45.7,17.0
4,87.6,61.8,34.3,12.4,California,06,5.4,75.2,11.0,15.7,37.7,33.7,31.0,49.0,37.4,18.3
5,89.7,69.7,30.2,10.3,Colorado,08,5.6,79.8,9.7,13.0,43.4,32.2,28.2,57.5,34.4,14.3
6,93.1,71.2,33.2,6.9,Connecticut,09,3.7,82.3,11.0,8.6,40.8,41.0,20.2,57.6,37.7,9.6
7,92.2,71.1,35.5,7.8,Delaware,10,5.7,82.4,10.4,9.5,38.3,42.9,22.3,55.1,42.2,10.8
8,94.7,68,36.5,5.3,District of Columbia,11,2.1,82.3,14.3,5.7,31.8,56.1,14.6,50.3,48.0,7.4
9,83.4,59,36.3,16.6,Florida,12,9.3,73.2,7.2,21.7,34.6,22.0,45.5,47.0,34.7,24.4
10,84.2,63.2,30.4,15.8,Georgia,13,7.6,78.1,5.2,18.8,35.6,18.3,48.2,49.8,32.3,24.5
11,94.7,75.4,33.3,5.3,Hawaii,15,3.1,88.4,10.0,5.1,48.0,34.4,22.0,58.4,36.0,11.4
12,86.4,68.4,30.8,13.6,Idaho,16,7.8,78.9,5.8,17.7,41.9,16.6,45.7,58.7,29.8,19.4
13,90.3,68.2,32.5,9.7,Illinois,17,3.3,81.2,8.9,11.7,37.2,34.3,30.8,53.3,34.4,16.8
14,88.1,69,30.6,11.9,Indiana,18,7.2,81.5,6.1,14.3,38.4,22.2,41.6,53.2,35.9,17.4
15,93.8,75.6,32.3,6.2,Iowa,19,3.2,86.2,8.5,7.8,44.1,36.0,24.3,59.7,37.4,10.2
16,89.8,73.6,28.5,10.2,Kansas,20,5.5,85.1,4.5,12.4,44.9,19.0,38.6,59.0,31.5,17.5
17,91.5,65.3,39.3,8.5,Kentucky,21,4.3,81.3,10.5,10.8,35.6,37.0,29.9,44.7,53.7,11.1
18,85.2,60.2,35.1,14.8,Louisiana,22,5.2,76.3,6.6,19.2,30.8,22.6,49.0,45.4,38.9,22.0
19,89.9,66.5,37.9,10.1,Maine,23,6.3,79.5,10.5,12.8,32.3,30.0,39.6,44.7,50.8,13.4
20,92.1,73.6,30.7,7.9,Maryland,24,3.2,83.9,9.1,9.5,43.5,33.3,26.1,59.3,36.3,12.2
21,96.7,73.5,35.5,3.3,Massachusetts,25,1.5,83.8,14.7,4.1,46.6,45.6,11.3,55.6,46.9,4.3
22,91.5,70.5,35.8,8.5,Michigan,26,3.8,82.1,9.1,11.1,39.3,33.9,29.8,54.6,43.6,11.3
23,94.1,76.6,30.6,5.9,Minnesota,27,3.8,84.8,10.7,6.8,44.6,34.5,23.8,58.2,39.7,9.2
24,85.5,58.4,38,14.5,Mississippi,28,5.3,77.9,6.7,18.0,26.8,23.9,51.8,40.6,44.2,22.1
25,88.3,69.2,30.6,11.7,Missouri,29,7.2,83.2,5.4,13.4,36.5,18.6,46.7,51.3,37.9,17.6
26,85.8,66.9,32.1,14.2,Montana,30,8.2,78.3,6.3,18.0,38.2,20.9,44.0,53.5,31.3,22.7
27,90.3,75,27.3,9.7,Nebraska,31,5.3,85.3,5.3,11.7,42.6,22.2,39.5,58.7,31.9,17.6
28,84.8,64.3,30.7,15.2,Nevada,32,9.6,76.9,7.5,17.9,39.4,27.0,37.0,50.5,33.6,23.0
29,90.8,76.2,27.3,9.2,New Hampshire,33,4.4,85.3,5.0,11.5,49.2,19.3,33.5,63.6,30.3,13.6
30,89.1,70.9,28.7,10.9,New Jersey,34,4.6,81.1,6.6,13.5,45.4,24.1,32.5,57.4,31.1,17.3
31,85.5,54.3,42.8,14.5,New Mexico,35,7.3,69.9,14.0,19.2,26.2,41.0,35.6,41.4,44.3,20.8
32,91.3,65.5,36.9,8.7,New York,36,3.3,77.6,12.9,11.5,40.6,40.2,22.6,49.8,45.1,12.1
33,86.9,65.5,33.4,13.1,North Carolina,37,5.2,79.9,6.2,16.3,35.2,21.4,45.7,51.7,36.3,19.8
34,92.1,80.1,25.8,7.9,North Dakota,38,6.9,88.0,6.7,8.4,52.0,19.2,31.5,64.6,27.4,13.3
35,91.6,69,34.9,8.4,Ohio,39,4.8,82.3,9.9,10.0,35.6,38.0,29.1,51.5,41.9,12.6
36,84.6,63.5,33.2,15.4,Oklahoma,40,8.7,77.8,6.4,18.4,30.9,21.5,50.1,47.2,33.7,25.6
37,90.3,65.2,38.6,9.7,Oregon,41,4.6,76.8,13.3,13.1,34.3,40.4,28.3,50.6,44.3,12.7
38,91.5,73.2,32.8,8.5,Pennsylvania,42,5.2,85.6,6.3,10.1,44.6,26.9,32.3,57.4,39.4,11.7
39,92.6,68.8,36,7.4,Rhode Island,44,3.3,80.9,11.2,10.0,40.8,43.0,21.3,51.5,46.6,8.6
40,86.4,63.5,36.2,13.6,South Carolina,45,5.5,78.1,7.4,17.2,33.2,22.0,47.4,48.5,39.9,20.6
41,90.2,73.8,29.3,9.8,South Dakota,46,5.7,85.1,6.6,11.2,30.8,22.2,48.8,55.2,34.3,19.5
42,88.0,64.8,35.4,12.0,Tennessee,47,5.2,79.4,8.1,15.0,33.2,27.4,41.4,48.2,41.9,18.2
43,80.9,60.6,28.6,19.1,Texas,48,11.0,73.6,5.4,22.9,35.1,16.7,50.5,47.7,28.2,29.3
44,87.5,75.2,20.8,12.5,Utah,49,9.4,82.4,4.4,14.8,46.7,17.2,39.0,67.0,22.0,16.9
45,95.0,67.6,41.8,5.0,Vermont,50,2.2,79.5,15.8,7.2,37.8,53.5,14.4,49.8,52.5,5.0
46,89.1,74.7,26.1,10.9,Virginia,51,5.7,84.9,4.8,12.6,48.4,18.8,36.0,61.0,27.5,18.2
47,90.8,70.3,32.8,9.2,Washington,53,4.7,81.8,9.7,11.2,44.9,30.4,28.4,55.3,37.6,14.3
48,91.4,62.9,44.2,8.6,West Virginia,54,3.0,77.9,12.4,12.8,26.8,45.4,30.5,45.8,53.2,10.7
49,92.7,73.3,32.2,7.3,Wisconsin,55,4.4,84.7,8.6,8.8,39.8,35.6,27.4,56.5,40.5,11.5
50,88.0,73.5,26,12.0,Wyoming,56,5.9,81.5,5.6,15.2,41.4,14.1,47.7,61.5,27.9,17.1
51,93.9,38.3,62,6.1,Puerto Rico,72,3.4,61.9,29.9,10.4,16.7,73.0,11.6,28.0,69.8,6.1
