,DP03_0096PE,DP03_0097PE,DP03_0098PE,DP03_0099PE,NAME,state,DP03_0101PE,DP03_0106PE,DP03_0107PE,DP03_0108PE,DP03_0111PE,DP03_0112PE,DP03_0113PE,DP03_0116PE,DP03_0117PE,DP03_0118PE
0,90.9,67.9,36.9,9.1,Alabama,01,2.4,85.0,6.5,11.4,44.1,24.6,35.4,53.3,41.7,16.2
1,86.0,67.3,29.4,14.0,Alaska,02,10.0,78.5,11.1,15.2,44.5,29.2,31.1,50.6,32.2,22.8
2,90.0,62.2,39.7,10.0,Arizona,04,7.3,76.0,13.9,12.8,35.0,45.1,22.9,47.5,43.3,14.7
3,92.1,62.0,43.2,7.9,Arkansas,05,3.6,79.7,12.7,10.8,37.1,38.6,28.4,46.3,51.6,11.3
4,92.7,63.0,38.9,7.3,California,06,2.9,76.7,16.2,9.5,40.3,44.7,17.8,50.0,44.1,11.1
5,92.5,70.2,32.8,7.5,Colorado,08,4.0,80.8,12.1,9.8,44.4,40.2,18.4,58.0,38.0,10.4
6,95.1,71.9,35.0,4.9,Connecticut,09,2.8,83.4,12.5,6.2,42.9,46.3,14.0,58.5,39.7,6.9
7,94.3,71.4,37.1,5.7,Delaware,10,3.1,83.0,11.3,7.6,40.0,48.8,14.0,58.4,40.6,7.7
8,96.1,68.4,37.1,3.9,District of Columbia,11,3.1,83.9,14.0,4.4,32.2,63.7,6.5,47.8,52.3,5.0
9,87.5,62.4,37.6,12.5,Florida,12,6.2,77.7,8.3,16.5,39.4,24.4,38.7,50.4,36.4,20.2
10,87.1,66.3,31.3,12.9,Georgia,13,6.5,81.1,6.0,15.4,43.2,21.0,39.3,51.7,33.9,21.9
11,96.5,77.2,34.1,3.5,Hawaii,15,2.2,89.3,10.3,3.7,47.9,36.9,17.9,60.0,40.2,7.2
12,89.9,70.1,32.6,10.1,Idaho,16,4.7,82.6,6.6,13.6,50.1,18.1,35.4,60.1,32.8,16.1
13,93.5,70.4,34.0,6.5,Illinois,17,2.4,83.2,10.6,8.2,41.7,41.7,19.2,55.7,38.8,10.7
14,91.9,70.8,33.3,8.1,Indiana,18,5.9,84.0,8.8,9.5,43.1,31.5,28.5,53.5,41.7,12.0
15,95.7,75.3,34.6,4.3,Iowa,19,2.5,86.9,10.9,5.2,45.0,42.1,17.6,59.5,41.2,7.3
16,91.3,75.1,29.2,8.7,Kansas,20,4.3,86.4,5.8,10.5,47.4,17.4,38.1,60.9,31.2,16.0
17,94.9,65.3,43.0,5.1,Kentucky,21,3.2,81.7,15.2,6.5,32.9,55.4,16.2,43.9,58.4,7.0
18,89.7,61.4,39.6,10.3,Louisiana,22,3.0,79.5,10.5,13.0,32.9,31.2,39.2,44.5,45.9,16.9
19,92.0,70.3,36.4,8.0,Maine,23,4.6,82.9,8.7,10.8,40.8,25.8,35.8,47.9,49.8,10.7
20,93.9,74.5,31.9,6.1,Maryland,24,3.3,84.6,10.4,7.6,45.8,39.1,18.7,60.0,38.8,8.8
21,97.5,73.9,36.5,2.5,Massachusetts,25,0.9,84.0,15.7,3.2,48.4,47.1,9.3,56.6,46.5,4.0
22,94.6,71.2,38.7,5.4,Michigan,26,2.9,82.7,12.7,7.2,38.0,47.1,17.9,54.5,48.0,6.9
23,95.9,76.8,32.8,4.1,Minnesota,27,3.4,85.7,12.5,4.6,48.8,38.7,16.2,58.1,42.4,7.1
24,88.2,60.2,39.4,11.8,Mississippi,28,4.5,81.5,7.4,14.3,30.4,26.2,45.9,43.4,44.7,20.0
25,91.1,71.3,31.5,8.9,Missouri,29,4.5,85.6,5.8,10.8,40.7,22.2,39.6,53.9,38.5,14.8
26,91.9,68.4,37.8,8.1,Montana,30,4.7,81.8,11.9,10.3,42.3,34.7,26.7,51.9,42.2,13.8
27,91.4,76.0,27.3,8.6,Nebraska,31,5.0,87.2,5.2,9.8,45.3,17.7,39.4,60.6,29.4,17.6
28,88.6,64.7,34.5,11.4,Nevada,32,6.8,77.9,10.7,14.3,39.8,38.6,25.3,49.9,39.6,17.3
29,94.1,76.5,31.3,5.9,New Hampshire,33,2.6,86.5,7.9,7.9,52.2,28.8,21.4,58.7,40.7,8.7
30,92.0,72.3,31.1,8.0,New Jersey,34,3.5,82.8,8.5,10.4,48.8,32.0,22.0,59.8,35.0,11.7
31,90.8,55.1,48.2,9.2,New Mexico,35,5.3,70.8,21.2,12.0,27.9,55.1,20.0,42.2,50.4,14.1
32,93.9,66.6,39.2,6.1,New York,36,2.4,78.8,15.7,8.1,40.0,48.4,15.9,51.2,48.1,8.5
33,89.6,67.6,34.7,10.4,North Carolina,37,4.5,82.2,7.5,13.2,40.7,25.5,37.5,53.7,38.1,16.6
34,93.0,80.5,26.0,7.0,North Dakota,38,7.8,88.1,7.2,7.1,49.1,32.2,22.9,65.5,30.2,11.8
35,94.4,69.5,37.6,5.6,Ohio,39,3.6,82.8,12.9,6.8,36.0,48.0,19.1,51.5,46.1,8.6
36,86.2,64.0,34.6,13.8,Oklahoma,40,7.3,79.8,7.0,16.2,36.8,17.0,48.5,47.5,34.5,24.2
37,93.8,68.3,39.8,6.2,Oregon,41,3.3,80.1,15.6,8.0,41.4,45.5,18.2,53.2,46.1,9.1
38,94.4,72.9,36.4,5.6,Pennsylvania,42,4.4,85.8,10.1,6.7,46.4,38.5,18.7,56.6,44.2,7.9
39,95.7,71.7,37.4,4.3,Rhode Island,44,1.9,84.3,12.6,5.8,47.3,44.2,13.9,53.9,49.5,5.4
40,90.0,66.7,37.2,10.0,South Carolina,45,4.0,81.7,8.7,12.7,40.4,29.0,34.7,51.6,40.3,17.2
41,91.3,73.5,31.0,8.7,South Dakota,46,4.5,86.8,6.7,10.1,29.0,25.0,48.7,54.1,35.0,18.4
42,91.0,66.3,37.3,9.0,Tennessee,47,3.5,81.7,10.0,11.4,38.7,32.0,33.0,49.2,43.7,15.1
43,83.4,62.8,29.2,16.6,Texas,48,9.2,76.8,5.5,19.8,41.3,15.4,45.5,50.2,27.8,27.3
44,91.2,78.7,21.5,8.8,Utah,49,5.8,86.8,5.0,10.2,52.1,20.7,29.9,69.1,22.8,14.2
45,96.3,68.2,42.7,3.7,Vermont,50,1.6,80.3,17.2,5.4,37.4,51.7,12.9,49.9,53.3,4.4
46,91.3,76.6,27.5,8.7,Virginia,51,4.8,86.8,6.0,10.3,51.0,20.7,31.8,63.4,29.1,14.4
47,94.0,71.4,35.8,6.0,Washington,53,2.5,83.5,12.3,7.6,44.1,39.7,18.9,57.1,41.3,9.5
48,94.7,62.3,48.4,5.3,West Virginia,54,2.1,79.1,16.3,8.0,30.2,55.8,18.0,43.5,59.7,6.5
49,94.7,75.2,33.0,5.3,Wisconsin,55,3.5,86.6,9.3,6.6,47.9,39.2,16.8,59.2,41.8,7.9
50,88.5,74.1,27.3,11.5,Wyoming,56,8.8,83.5,6.2,13.2,41.1,18.6,44.4,61.6,29.2,16.8
51,93.8,39.3,61.6,6.2,Puerto Rico,72,2.8,61.6,30.0,10.4,18.5,70.0,12.9,28.2,69.5,6.4
