,DP03_0096PE,DP03_0097PE,DP03_0098PE,DP03_0099PE,NAME,state,DP03_0101PE,DP03_0106PE,DP03_0107PE,DP03_0108PE,DP03_0111PE,DP03_0112PE,DP03_0113PE,DP03_0116PE,DP03_0117PE,DP03_0118PE
21,96.3,74.5,34.0,3.7,Massachusetts,25,1.5,85.5,12.2,4.6,48.0,42.5,13.8,58.0,44.7,4.7
22,89.0,69.1,34.5,11.0,Michigan,26,4.0,80.0,7.8,14.1,35.5,27.4,39.5,54.3,40.9,14.1
23,91.8,76.1,28.1,8.2,Minnesota,27,5.6,83.9,8.6,9.5,43.6,32.1,27.4,58.3,35.4,12.7
24,82.9,56.0,37.7,17.1,Mississippi,28,7.6,75.5,6.6,20.7,26.6,21.8,54.8,39.0,42.4,25.8
25,87.0,68.4,30.6,13.0,Missouri,29,7.0,81.3,5.4,15.4,34.0,21.0,47.0,50.3,36.9,20.2
26,83.5,65.1,31.9,16.5,Montana,30,10.1,75.7,6.5,20.6,31.8,15.2,54.9,53.1,31.0,23.3
27,88.7,73.7,26.8,11.3,Nebraska,31,5.5,83.3,4.7,14.0,40.7,16.4,45.6,58.1,30.7,19.5
28,79.3,62.3,26.4,20.7,Nevada,32,14.9,75.4,4.7,21.9,33.8,12.7,54.9,45.1,28.6,32.1
29,89.3,74.8,27.0,10.7,New Hampshire,33,3.8,83.4,4.4,14.0,46.7,17.8,36.6,59.5,31.0,15.9
30,86.8,70.0,27.2,13.2,New Jersey,34,5.6,80.2,5.0,16.0,42.0,18.1,41.9,57.2,28.9,19.9
31,81.4,53.5,39.3,18.6,New Mexico,35,8.5,67.8,10.7,24.5,27.2,24.6,50.8,40.3,39.4,27.0
32,89.3,65.0,35.2,10.7,New York,36,4.0,77.1,10.8,14.0,37.8,36.2,29.3,49.6,43.1,14.2
33,84.4,63.3,32.7,15.6,North Carolina,37,6.3,76.8,5.6,19.7,31.0,21.0,50.1,49.1,35.9,22.5
34,89.6,79.1,23.8,10.4,North Dakota,38,7.9,85.9,5.0,11.4,43.7,14.5,44.0,62.9,25.9,19.0
35,89.0,68.6,32.4,11.0,Ohio,39,5.3,81.3,7.7,13.1,36.1,27.7,38.4,51.1,37.1,17.6
36,82.3,61.0,33.2,17.7,Oklahoma,40,10.0,74.5,6.5,21.5,26.1,19.8,56.1,44.5,34.3,27.9
37,85.3,65.7,32.5,14.7,Oregon,41,5.8,76.3,6.7,19.1,37.4,22.4,42.9,50.8,35.8,21.1
38,90.3,72.2,32.3,9.7,Pennsylvania,42,5.4,84.4,6.0,11.5,41.6,24.7,36.5,56.0,38.7,13.5
39,88.4,68.9,31.8,11.6,Rhode Island,44,5.4,80.4,7.5,14.2,38.6,19.9,43.1,54.6,40.2,13.9
40,84.2,62.3,34.5,15.8,South Carolina,45,6.7,76.0,6.9,19.7,31.3,19.3,51.5,47.2,37.6,23.5
41,88.7,71.7,30.3,11.3,South Dakota,46,6.3,82.8,7.4,13.5,32.4,26.6,45.0,53.2,33.9,21.0
42,86.1,63.8,34.4,13.9,Tennessee,47,5.7,77.6,7.2,17.4,32.9,25.2,44.3,47.5,39.8,20.8
43,77.9,57.9,28.3,22.1,Texas,48,12.6,69.9,5.2,26.8,30.5,15.2,56.5,44.5,27.4,33.3
44,86.0,73.5,21.0,14.0,Utah,49,9.5,80.4,4.7,16.8,44.8,16.7,41.0,62.6,22.6,20.2
45,92.8,66.8,39.7,7.2,Vermont,50,3.1,77.1,14.6,11.0,38.6,46.7,16.6,52.8,48.4,6.2
46,87.7,73.9,25.6,12.3,Virginia,51,5.4,82.7,4.6,14.9,46.4,17.0,39.9,59.9,27.3,19.3
47,86.0,68.5,29.4,14.0,Washington,53,5.9,79.9,5.8,16.8,38.9,16.0,47.5,53.6,31.5,21.5
48,86.0,62.8,38.5,14.0,West Virginia,54,5.3,77.6,6.1,18.3,31.6,19.4,51.8,43.2,46.8,19.6
49,90.9,71.8,31.8,9.1,Wisconsin,55,4.7,82.1,9.2,10.9,39.7,27.9,34.7,56.2,37.6,14.4
50,86.6,73.9,25.2,13.4,Wyoming,56,5.7,81.0,5.2,16.9,43.2,14.0,46.9,62.1,23.1,22.4
51,93.6,39.7,60.2,6.4,Puerto Rico,72,3.4,63.3,28.8,10.2,18.3,70.3,12.8,29.1,67.7,6.9
