,DP03_0096PE,DP03_0097PE,DP03_0098PE,DP03_0099PE,NAME,state,DP03_0101PE,DP03_0106PE,DP03_0107PE,DP03_0108PE,DP03_0111PE,DP03_0112PE,DP03_0113PE,DP03_0116PE,DP03_0117PE,DP03_0118PE
0,86.4,64.8,34.8,13.6,Alabama,01,4.3,80.2,5.8,16.6,36.1,17.9,48.8,49.5,39.0,21.2
1,81.5,65.2,25.8,18.5,Alaska,02,11.6,75.2,7.5,21.1,36.8,20.1,46.8,50.8,29.3,25.6
2,82.9,59.9,34.4,17.1,Arizona,04,11.9,72.9,8.7,20.6,28.9,27.6,45.6,44.9,35.1,25.7
3,84.0,58.1,37.9,16.0,Arkansas,05,5.5,75.4,6.1,21.0,28.5,16.4,57.1,41.2,42.5,24.6
4,82.8,60.0,31.2,17.2,California,06,7.4,72.5,7.6,21.5,35.9,23.2,42.9,47.1,32.2,25.1
5,85.9,68.9,26.9,14.1,Colorado,08,8.2,78.2,6.8,17.2,42.7,19.7,40.6,58.1,29.1,19.1
6,90.6,70.7,31.2,9.4,Connecticut,09,4.3,81.5,8.7,11.6,42.1,32.4,27.8,57.2,34.2,13.7
7,90.9,69.9,35.6,9.1,Delaware,10,4.5,80.6,10.2,11.6,36.5,37.5,29.6,54.1,42.0,11.7
8,93.3,68.8,35.3,6.7,District of Columbia,11,2.4,84.1,12.1,7.0,31.6,52.6,19.8,50.4,44.8,10.0
9,80.0,56.8,35.0,20.0,Florida,12,11.1,69.4,6.3,26.1,27.6,19.3,54.7,44.1,33.4,28.3
10,81.2,61.5,29.1,18.8,Georgia,13,9.6,75.4,4.7,22.0,32.5,15.1,54.5,47.7,30.8,27.6
11,93.3,75.6,31.5,6.7,Hawaii,15,3.0,87.7,8.3,7.2,43.5,32.4,27.4,58.8,33.0,13.9
12,83.8,66.5,29.7,16.2,Idaho,16,8.9,76.1,5.7,20.9,40.9,16.0,45.8,53.5,30.3,24.0
13,87.3,66.8,31.0,12.7,Illinois,17,4.2,79.3,7.4,15.1,36.1,24.8,41.0,51.9,31.4,21.6
14,86.0,67.6,29.9,14.0,Indiana,18,8.2,79.7,5.6,16.4,33.9,21.2,46.7,51.2,34.6,20.6
15,91.9,74.8,31.1,8.1,Iowa,19,4.1,84.7,7.5,10.2,42.3,28.7,31.3,58.0,36.6,13.5
16,87.7,72.2,27.7,12.3,Kansas,20,6.1,82.6,4.9,14.7,39.0,15.4,48.2,57.6,29.1,20.7
17,85.7,64.2,33.7,14.3,Kentucky,21,5.9,79.8,5.3,17.1,31.6,17.0,52.9,43.1,43.2,22.0
18,83.4,59.1,34.5,16.6,Louisiana,22,5.7,74.0,6.2,21.7,29.1,22.0,51.3,43.1,39.0,24.5
19,88.8,64.9,38.8,11.2,Maine,23,5.9,75.9,11.7,15.4,36.3,31.9,35.2,43.3,51.9,12.9
20,89.8,73.6,28.2,10.2,Maryland,24,4.4,83.1,7.1,12.2,42.9,25.5,34.4,59.6,32.6,15.0
