,DP03_0096PE,NAME,state
0,86.7,Alabama,01
1,79.5,Alaska,02
2,82.4,Arizona,04
3,83.6,Arkansas,05
4,82.1,California,06
5,85.3,Colorado,08
6,90.9,Connecticut,09
7,91.2,Delaware,10
8,94.1,District of Columbia,11
9,79.9,Florida,12
10,81.6,Georgia,13
11,93.1,Hawaii,15
12,83.8,Idaho,16
13,87.2,Illinois,17
14,85.7,Indiana,18
15,91.6,Iowa,19
16,87.4,Kansas,20
17,86.1,Kentucky,21
18,83.1,Louisiana,22
19,89.8,Maine,23
20,89.7,Maryland,24
21,96.1,Massachusetts,25
22,88.6,Michigan,26
23,92.0,Minnesota,27
24,83.0,Mississippi,28
25,86.4,Missouri,29
26,82.0,Montana,30
27,88.7,Nebraska,31
28,77.8,Nevada,32
29,89.4,New Hampshire,33
30,87.3,New Jersey,34
31,81.6,New Mexico,35
32,89.1,New York,36
33,83.4,North Carolina,37
34,90.0,North Dakota,38
35,88.5,Ohio,39
36,81.6,Oklahoma,40
37,85.1,Oregon,41
38,90.2,Pennsylvania,42
39,88.9,Rhode Island,44
40,83.2,South Carolina,45
41,88.5,South Dakota,46
42,86.1,Tennessee,47
43,77.5,Texas,48
44,85.5,Utah,49
45,93.5,Vermont,50
46,87.5,Virginia,51
47,86.1,Washington,53
48,85.6,West Virginia,54
49,91.0,Wisconsin,55
50,84.6,Wyoming,56
51,92.8,Puerto Rico,72
