,DP03_0096PE,NAME,state
0,90.9,Alabama,01
1,86.0,Alaska,02
2,90.0,Arizona,04
3,92.1,Arkansas,05
4,92.7,California,06
5,92.5,Colorado,08
6,95.1,Connecticut,09
7,94.3,Delaware,10
8,96.1,District of Columbia,11
9,87.5,Florida,12
10,87.1,Georgia,13
11,96.5,Hawaii,15
12,89.9,Idaho,16
13,93.5,Illinois,17
14,91.9,Indiana,18
15,95.7,Iowa,19
16,91.3,Kansas,20
17,94.9,Kentucky,21
18,89.7,Louisiana,22
19,92.0,Maine,23
20,93.9,Maryland,24
21,97.5,Massachusetts,25
22,94.6,Michigan,26
23,95.9,Minnesota,27
24,88.2,Mississippi,28
25,91.1,Missouri,29
26,91.9,Montana,30
27,91.4,Nebraska,31
28,88.6,Nevada,32
29,94.1,New Hampshire,33
30,92.0,New Jersey,34
31,90.8,New Mexico,35
32,93.9,New York,36
33,89.6,North Carolina,37
34,93.0,North Dakota,38
35,94.4,Ohio,39
36,86.2,Oklahoma,40
37,93.8,Oregon,41
38,94.4,Pennsylvania,42
39,95.7,Rhode Island,44
40,90.0,South Carolina,45
41,91.3,South Dakota,46
42,91.0,Tennessee,47
43,83.4,Texas,48
44,91.2,Utah,49
45,96.3,Vermont,50
46,91.3,Virginia,51
47,94.0,Washington,53
48,94.7,West Virginia,54
49,94.7,Wisconsin,55
50,88.5,Wyoming,56
51,93.8,Puerto Rico,72
