,DP03_0096PE,NAME,state
0,86.4,Alabama,01
1,81.5,Alaska,02
2,82.9,Arizona,04
3,84.0,Arkansas,05
4,82.8,California,06
5,85.9,Colorado,08
6,90.6,Connecticut,09
7,90.9,Delaware,10
8,93.3,District of Columbia,11
9,80.0,Florida,12
10,81.2,Georgia,13
11,93.3,Hawaii,15
12,83.8,Idaho,16
13,87.3,Illinois,17
14,86.0,Indiana,18
15,91.9,Iowa,19
16,87.7,Kansas,20
17,85.7,Kentucky,21
18,83.4,Louisiana,22
19,88.8,Maine,23
20,89.8,Maryland,24
21,96.3,Massachusetts,25
22,89.0,Michigan,26
23,91.8,Minnesota,27
24,82.9,Mississippi,28
25,87.0,Missouri,29
26,83.5,Montana,30
27,88.7,Nebraska,31
28,79.3,Nevada,32
29,89.3,New Hampshire,33
30,86.8,New Jersey,34
31,81.4,New Mexico,35
32,89.3,New York,36
33,84.4,North Carolina,37
34,89.6,North Dakota,38
35,89.0,Ohio,39
36,82.3,Oklahoma,40
37,85.3,Oregon,41
38,90.3,Pennsylvania,42
39,88.4,Rhode Island,44
40,84.2,South Carolina,45
41,88.7,South Dakota,46
42,86.1,Tennessee,47
43,77.9,Texas,48
44,86.0,Utah,49
45,92.8,Vermont,50
46,87.7,Virginia,51
47,86.0,Washington,53
48,86.0,West Virginia,54
49,90.9,Wisconsin,55
50,86.6,Wyoming,56
51,93.6,Puerto Rico,72
